,Protein / seconds,Polypeptide / seconds,Amino acid / seconds,Heteroploycondensate(HPC) / seconds,Polysaccharides / seconds,Oligosaccharides / seconds,Humic acid / seconds,Monosaccharides / seconds,Inorganic carbon/ seconds,Lipids / seconds,Pigments / seconds,Porphyrin / seconds,V-Phenol / seconds,S-Phenol / seconds,C-Phenol / seconds
48,9061950.044667564,2063486.6890903625,921949.6654166589,820795992307.7972,26782634.360607114,7691025.164892465,27102212.937609635,24428871.199938346,2733069.364404832,1885433.5581478444,8192861.7674662825,9321172.466188198,2567551.3677347144,2615773.6812147954,2728990.435220782
49,8730570.960177815,1952722.151281726,910387.4133553822,915352513852.9075,24765942.58116361,7868831.155923031,23712211.28272473,25123922.143654782,2544812.9290884594,1884526.648988278,9197631.944096997,8924198.915073773,2716829.7268274357,2495964.227106063,2632793.1713545434
50,8758722.540631996,2063032.8278411678,832031.3525352038,848700854073.8722,25816330.34988801,8106447.200477146,26332706.707369518,27279322.8386622,2550751.8881878853,2048581.4733938407,8319200.512479387,8677863.530715222,2662378.182677431,2652616.171873433,2387032.8444911446
51,8653810.128911661,1906547.6155634362,839897.7477807023,917197910326.175,25155216.896850307,7786183.3599936,25220548.141491976,26573925.895088084,2673471.4956456646,1941561.558482613,8470969.861552132,8615781.774094163,2587279.1276812647,2465634.2988166027,2516068.537621782
52,8923268.476044998,1996069.8074750912,897907.8951912172,830528926336.5181,26165924.03634963,7876358.611774735,24925301.20975806,24809873.490667332,2657930.886937541,2141233.1929177586,8930300.69510437,8901219.521780029,2724881.2466030656,2542459.3328731693,2699351.389984993
53,8508359.534915531,2034970.1609107126,874178.7771995303,900892977783.1476,25080063.622578178,8240524.051750823,25779144.732181467,24143987.552514493,2423327.0928769787,2162097.4202677617,9310371.445655948,9002669.270722808,2493194.6528597404,2439882.4410691536,2568732.8769333265
54,8192696.060360436,2043139.18361917,818549.6408215615,831356339890.9742,26886614.281571623,8218679.029532511,23773377.10106043,25096711.424853217,2549297.322493264,2130232.134910881,8986340.596753757,8613898.97466881,2659428.357590571,2642062.878983686,2712326.8182641566
55,8102685.897443411,2094587.2381209675,877310.2855638333,821637057435.3593,24890463.790954884,7696725.371774681,26842742.9163154,25239229.006133147,2595919.0491218907,1892995.308520533,8892669.410140028,8363241.835669171,2427609.3095587045,2691813.848654748,2713940.044904139
56,8636398.018352944,1975876.6102073663,868067.6732577464,861724241896.065,26989912.91460914,8325482.902437045,25873771.676832438,25398656.15695665,2649421.1789385853,2052908.0882895682,8513155.455082294,9084039.602778532,2572989.363434105,2484105.542565814,2508663.819286583
57,8897632.821608234,2129830.403895712,867399.8320080215,837506736707.6821,28461524.684048887,8029108.419443808,26491574.706633788,26725382.40065268,2368594.08761002,2086236.2871161709,9183312.151543545,8691383.473213166,2409534.2978976746,2699362.8446904817,2595336.863278785
58,8624621.71946003,1845691.9192146596,899196.1024810929,905789431301.4318,25712936.302747823,7304345.226942255,24096563.43442623,25221768.203815915,2812034.8598316507,1937159.6800183572,8235984.884634304,8800842.313481351,2519826.4498398346,2601847.2749152305,2627499.7719008857
