,Protein,Polypeptide,Amino acid,Heteroploycondensate(HPC),Polysaccharides,Oligosaccharides,Humic acid,Monosaccharides,Inorganic carbon,Lipids,Pigments,Porphyrin,V-Phenol,S-Phenol,C-Phenol
117,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
118,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
119,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
120,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
121,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
122,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
123,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
124,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
125,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
126,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
127,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
128,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
129,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
130,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
131,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
132,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
133,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
134,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
135,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
136,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
137,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
138,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
139,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
140,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
141,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
142,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
143,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
144,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
145,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
146,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
147,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
148,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
149,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
150,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
151,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
152,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
153,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
154,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
155,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
156,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
157,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
158,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
159,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
