Protein_micromolar,Polypeptide_micromolar,Amino acid_micromolar,Heteropolycondensate_micromolar,Polysaccharide_micromolar,Oligosaccharide_micromolar,Humic acid_micromolar,Monosaccharide_micromolar,Inorganic carbon_micromolar,Lipid_micromolar,Pigment_micromolar,Porpherin_micromolar,CDOM_micromolar,VPhenol_micromolar,SPhenol_micromolar,CPhenol_micromolar,Phenol_micromolar,DOC_micromolar,,,Sam #500,Protein_micromolar,Polypeptide_micromolar,Amino acid_micromolar,Heteropolycondensate_micromolar,Polysaccharide_micromolar,Oligosaccharide_micromolar,Humic acid_micromolar,Monosaccharide_micromolar,Inorganic carbon_micromolar,Lipid_micromolar,Pigment_micromolar,Porpherin_micromolar,CDOM_micromolar,VPhenol_micromolar,SPhenol_micromolar,CPhenol_micromolar,Phenol_micromolar,DOC_micromolar
11.06265755,2.539824387,0.521591566,416.2410016,15.11176738,1.990189968,0.00201655,0.479414935,7.014262105,2.109106634,2.095559454,1.114195125,46.07677371,0.071249454,0.125221881,0.217629309,0.414100644,453.6814258,,,,,,,,,,,,,,,,,,,,,
15.19048772,3.311075806,0.717872467,395.431548,20.83773811,2.727045463,0.00169062,0.602766919,10.07071465,2.886272058,2.901430172,1.494871556,45.6385792,0.090195181,0.182030779,0.273452529,0.545678488,446.6484774,,,,,,,,,,,,,,,,,,,,,
13.40598098,3.576884387,0.683859167,402.7989397,19.27731376,2.500018028,0.001741722,0.592956839,9.69353201,3.081343387,2.646063053,1.428618835,45.85077821,0.087562343,0.15469022,0.229275485,0.471528048,450.4652479,,,,,,,,,,,,,,,,,,,,,
13.98055568,3.218628094,0.730263413,401.3972828,19.48047212,2.585098735,0.001896786,0.630937832,10.2512183,2.319678902,2.885031744,1.287891703,45.89687351,0.095219238,0.173886805,0.295034016,0.564140059,449.0818778,,,,,,,,,,,,,,,,,,,,,
13.89469847,3.281298057,0.776913202,396.7727898,19.7706946,2.919821478,0.001956475,0.708174926,9.371061895,3.114261605,2.875740742,1.36606118,45.47204085,0.090432352,0.148089259,0.256902947,0.495424558,445.9778351,,,,,,,,,,,,,,,,,,,,,
15.47859963,4.009226528,0.832117118,400.6986382,22.18712492,3.095305973,0.001908222,0.753049527,11.67658092,2.97363007,3.235372071,1.535925307,46.58727923,0.110170915,0.190008744,0.300602365,0.600782024,455.4016796,,,,,,,,,,,,,,,,,,,,,
8.853253292,2.026164496,0.454053739,414.8684292,11.93422146,1.857511371,0.001926849,0.431659609,5.774519313,1.586691079,1.703924455,0.888303612,45.06624323,0.053056534,0.094971682,0.160598788,0.308627004,444.9147662,,,,,,,,,,,,,,,,,,,,,
12.9754616,2.743130748,0.605141343,401.639236,17.91337129,2.436790818,0.001967542,0.588538599,8.314389431,2.463988991,2.50128575,1.310971357,45.43330426,0.085231164,0.162210309,0.236126391,0.483567864,445.6634519,,,,,,,,,,,,,,,,,,,,,
14.89591686,3.780180411,0.830997274,389.6543226,21.21379359,3.103068924,0.001669595,0.779638419,11.15646712,2.639133616,2.982682702,1.575530028,45.21788336,0.108923606,0.214691245,0.296526597,0.620141448,442.0770755,,,,,,,,,,,,,,,,,,,,,
8.724534994,2.090703056,0.443527935,424.177574,12.30371295,1.712620614,0.001990257,0.383330295,5.941214038,1.930847008,1.727068927,0.911981705,46.0422147,0.05844262,0.109492025,0.174347697,0.342282342,454.750174,,,,,,,,,,,,,,,,,,,,,
