Teslin_V1_ms_1,Pelly_V1_ms_1,White_Donjec_V1_ms_1,Stewart_V1_ms_1,Porcupine_V1_ms_1,Tanana_V1_ms_1,Koyukuk_V1_ms_1,Yukon_V8_ms_1,Yukon_Flowtime_days,Pelly_Df,White+Donjec_Df,Stewart_Df,Porcupine_Df,Tanana_Df,Koyukuk_Df,Protein_turnovertime_seconds,Polypeptide_turnovertime_seconds,Amino_acid_turnovertime_seconds,Heteroploycondensate(HPC)_turnovertime_seconds,Polysaccharides_turnovertime_seconds,Oligosaccharides_turnovertime_seconds,Humic_acid_turnovertime_seconds,Monosaccharides_turnovertime_seconds,Inorganic_carbon_turnovertime_seconds,Lipids_turnovertime_seconds,Pigments_turnovertime_seconds,Porphyrin_turnovertime_seconds,V-Phenol_turnovertime_seconds,S-Phenol_turnovertime_seconds,C-Phenol_turnovertime_seconds,Protein_fraction,Heteroploycondensate(HPC)_fraction,Polysaccharides_fraction,Lipids_fraction,Pigments_fraction,V-Phenol_fraction,S-Phenol_fraction,C-Phenol_fraction,Teslin_DOC_micromolar,Pelly_DOC_micromolar,White_Donjec_DOC_micromolar,Stewart_DOC_micromolar,Porcupine_DOC_micromolar,Tanana_DOC_micromolar,Koyukuk_DOC_micromolar
0.5843107730397109,0.784810052370688,0.48828300962552296,0.5318042434091145,0.7211454940823768,0.858227262690332,0.7226516933294309,0.889885938827633,44.56018518518518,0.2742599650395314,0.06335882496552137,0.16771613419126302,0.08993296264816916,0.17767339335046944,0.06466511654912485,8940703.142734386,2088394.6255527625,902577.8205085053,879260879876.3557,28009267.632074244,7855050.993951066,25668365.81551265,26269628.928146724,2504167.9198166924,2020884.5896659123,8654009.08287283,8816405.35079038,2734043.8816484907,2561119.0880198595,2608556.145990376,0.06776333382150108,0.7749938791387257,0.06776333382150108,0.06776333382150108,0.013497574622981923,0.0013497574622981922,0.0026995149245963843,0.004049272386894578,357.38914817239566,694.493009398984,651.4875308706696,688.2198699530281,475.0428686499596,314.41358079430586,192.78217361248397
0.5737508128013211,0.7135885384578747,0.5097983516633381,0.5498700171771096,0.727078565041485,0.9053279047073295,0.7621846488569864,0.8195141216518209,47.33796296296296,0.29256858288664855,0.06190632208366306,0.1567261843881558,0.09056197594707172,0.16699734040056144,0.06296628770514656,8465563.02293115,1976192.44691171,827883.2099529157,863541779073.1251,24216554.76441008,8150472.297010006,24746330.013883743,25485618.32857337,2573498.7552875592,1940016.7253209483,7854782.319812654,7885288.734797986,2431704.7736487766,2574885.2020110786,2542286.4298941833,0.039637661336419036,0.8683345255485672,0.039637661336419036,0.039637661336419036,0.00789530652635989,0.0007895306526359889,0.0015790613052719777,0.002368591957907967,364.30904922703695,675.6196675305163,616.5187482682861,702.2031748685732,511.3759133566754,317.0196610861972,184.0183927182381
0.5503955466460403,0.7077823597123207,0.4950269825595552,0.5438055859035342,0.7051562715222658,0.9334759504805741,0.6614963501701369,0.8615689573555213,45.60185185185185,0.2859574549354667,0.0630194821801379,0.18316896416047246,0.0897008887517368,0.1659272484984522,0.057973354073393706,8667431.04057505,2107272.3665928845,834521.6442828724,890432534747.8083,26768818.75555307,7939801.268568032,25358053.003782026,27510400.809208654,2744946.658519463,1872804.4294151736,7948155.026181537,8260697.490331682,2629596.8535220064,2574076.2320520435,2524249.599499404,0.0545092862625992,0.818980075996805,0.0545092862625992,0.0545092862625992,0.010857540759623419,0.0010857540759623419,0.0021715081519246837,0.003257262227887026,380.8741940463195,667.9219588144372,663.7002463147576,699.8091299594654,525.9688767097986,327.1314897371149,200.531366672209
0.542655134691554,0.7323040952881363,0.5090223421782328,0.56136945180819,0.6574465983343427,0.9203007690080766,0.7085773853266932,0.9008931729608839,44.21296296296296,0.2975351497344674,0.06383812853768997,0.17892175857765455,0.09450731020616449,0.1877296114984816,0.060562229031019675,8353297.764958567,2183818.6049175956,926727.666213247,802779407197.706,26267544.59020935,8034722.757807402,25639733.131993838,27097147.447674327,2565405.0866038986,1865440.9563438746,8544736.152207848,8231629.755608102,2580739.0525727086,2633104.9401394883,2691377.9438703177,0.03827916515693756,0.8728429657149439,0.03827916515693756,0.03827916515693756,0.007624711758902196,0.0007624711758902196,0.0015249423517804392,0.002287413527670659,375.47352659967186,658.438283410384,657.017836064508,614.9949051162693,513.2978646449071,321.1924433646964,201.43648874186133
0.5189062209197344,0.7616030750057403,0.5012600861824299,0.5335607238035017,0.6962442945169891,0.8430995709719871,0.7616700504535954,0.8449767948070679,46.18055555555555,0.3088211562014926,0.0635201048627285,0.16746187514368885,0.09408766496391212,0.19122886187122978,0.05585929099914828,9048291.949112631,1848117.1779584382,858558.1018513769,888309012855.5513,25120716.17589749,7872710.448271867,25365362.564601585,27251767.418129455,2579918.3365529864,1935506.6444839584,8206735.009640177,8436003.606221555,2649357.422301833,2490814.8943102155,2582611.975189071,0.057444938095216544,0.8092375306466066,0.057444938095216544,0.057444938095216544,0.01144228441733988,0.001144228441733988,0.002288456883467976,0.0034326853252019647,393.78245943697345,718.6714426164104,637.7321808222886,744.1506806691392,528.566783556744,328.16115053218647,200.2494215766541
0.5929441417261592,0.679151381020332,0.551787384737649,0.5182522879085112,0.7682899470704525,0.8506660566699968,0.674544862397666,0.804460160963227,47.916666666666664,0.2899481859878193,0.05966712217003184,0.16045786892496833,0.0889977433889888,0.1836257673391367,0.05799781369031903,8612341.476414274,2072340.7736465815,853683.2778924085,931125619381.8429,25465748.119575217,8146354.585773179,27002494.883969482,24598288.441962123,2623109.145986683,2038885.0641258154,9205784.098381191,8512622.69788258,2699440.68203979,2579549.9096726687,2552642.269162748,0.06250452659610686,0.7924462784021885,0.06250452659610686,0.06250452659610686,0.012450088630931855,0.0012450088630931856,0.002490017726186371,0.0037350265892795572,357.4639938337894,709.7530101627167,644.9298873136088,716.6543816834602,512.5527542183299,305.7771483927619,208.94908836913575
0.5557608525598111,0.7676650948057653,0.5237713052166598,0.5081570722649565,0.7070199742043344,0.9135117568252943,0.7697342021347653,0.846031755652596,46.18055555555555,0.29138935378019065,0.0635348315581794,0.17244086217552482,0.09091081433696796,0.18269461416719895,0.05990209798099948,8340756.174930899,2016072.8156130728,876326.7230122006,835957521281.4136,26391238.050878894,8305210.096885011,25224087.960544966,24998521.139913306,2498429.3600439136,2015357.8280769282,9126154.780185288,8470181.486876307,2493279.8610254633,2773249.9592066715,2650184.7337373616,0.048671158879077143,0.8383550645980546,0.048671158879077143,0.048671158879077143,0.009694661727946259,0.0009694661727946259,0.0019389323455892519,0.0029083985183838783,372.990105327409,674.0961650210403,713.7828028564289,710.1770225685564,482.21485644148356,322.8443754535703,195.5183537351859
0.5803731976152405,0.7590590296025561,0.561125939718244,0.5731145164886188,0.6762382067786451,0.8839506957247819,0.6752936610530291,0.907227553904398,43.98148148148148,0.2811570376129498,0.06782799050717238,0.15708987163767793,0.09688887001036775,0.18492778861084044,0.06379867897158277,8757455.06300825,1948439.341691667,892157.7873592642,895220157606.8223,25628618.653510544,7557364.327559787,26870472.257959962,26103673.235539336,2765271.4501971747,1898879.5299126704,8950478.389110308,8911337.842935981,2723076.1497618407,2607700.187675524,2625485.8953625862,0.03488998100378043,0.8840906484085922,0.03488998100378043,0.03488998100378043,0.0069496303625416304,0.000694963036254163,0.001389926072508326,0.0020848891087624894,413.89899976478824,696.6452829683449,666.3669046984102,663.4185193912903,498.7271411070054,295.6965729932243,203.73582932498243
0.588103429929468,0.7536008647138371,0.5010418617931863,0.5694627612119902,0.7852601809323279,0.868771160775328,0.6839034908511136,0.8256186035386041,47.10648148148148,0.28924664168797504,0.0662285037736958,0.1702334573189374,0.09173053231244804,0.17967037497785654,0.05632393189547565,9359170.294168245,1862989.5353892986,858289.5285228004,844918378209.4016,26235071.095850404,7476756.6761624,25891461.72670949,24727278.238114737,2523822.310144454,2129070.3543413654,8261590.212801043,9203318.834769048,2646816.649560068,2573581.8120211205,2599321.3373475256,0.05084862800138818,0.8311286995921411,0.05084862800138818,0.05084862800138818,0.010128385252309028,0.0010128385252309029,0.0020256770504618058,0.003038515575692709,400.324771643137,631.2697826293602,719.0868841213419,690.4275021317757,489.70222573812373,318.7617251799958,200.95777977372725
0.5440139822891905,0.7266894218059118,0.5498396011552334,0.5468739082550632,0.7014126562299514,0.8678302671231839,0.7170558736388847,0.9390853355886667,42.82407407407407,0.28949146302660733,0.06130019292075589,0.18071255446614706,0.08582579226353343,0.18113365447547025,0.05722003598659577,8455014.806071874,2138570.367373697,859597.830416262,891620810418.8182,24333248.737737995,8071019.344296894,25902347.023451865,25394410.695251245,2655018.5050989147,2005795.8778527817,8656643.52006431,9196880.958787186,2442661.0587468874,2681505.923454006,2772808.608040359,0.047195701127620865,0.8432516650382534,0.047195701127620865,0.047195701127620865,0.00940076973680253,0.0009400769736802529,0.0018801539473605059,0.0028202309210407592,401.2174078645143,668.8883844779707,687.0302394136755,692.1929753709076,491.88380394801106,296.4675259896461,185.73760354807214
